Term	Language ID	Definition	External cross reference (definition)	Note (definition)	Note (Term)	Part of speech	Grammatical gender	Grammatical number	Pronunciation	Etymology	Orthographic variant	Acronym	Full form	Abbreviation	Derivative	Collocation	Synonym	Quasi synonym	Hypernym	Hyponym	Context	External cross reference (context)	Register	Common name	Scientific name	Domain	Subdomain	Sub-subdomain
Glera	fr	Le glera est un cépage blanc italien de raisin de cuve. Il compose de 85% à 100% du vin prosecco.	https://fr.wikipedia.org/wiki/Glera_(c%C3%A9page)	NA	Voix italienne	Substantif	Masculin	Singulier	[/'glɛra/]	Étymologie inconnue. Selon une hypothèse, le Glera serait originaire de Prosecco, une petite ville du Karst de Trieste.	NA	NA	NA	NA	NA	planter le Glera, cultiver le Glera, millesimée de Glera	NA	NA	Cépage	NA	Le prosecco est un vin blanc effervescent italien principalement issu de la transformation du cépage Glera , produit dans cinq provinces de Vénétie (Belluno, Venise, Padoue, Trévise et Vicence) et quatre provinces de Frioul-Vénétie julienne (Gorizia, Pordenone, Trieste et Udine).	https://fr.wikipedia.org/wiki/Prosecco	Technique	NA	NA	Œnologie	Vins spéciaux	Vin mousseux
Embouteillage isobarique	fr	Méthode d'embouteillage qui prévoit que la bière n'entre jamais en contact avec l'air, ce qui pourrait la ruiner en déclenchant le processus d'oxydation.	https://www.brasseriaveneta.org/event/imbottigliamento-isobarico-nozioni-base-professionisti-ed-hobbysti/	Définition traduite de l'italien	NA	Substantif	Masculin	Singulier	[/ɑ̃busɛjaʒ izobaʁik/]	1845 « action de mettre un liquide en bouteille » (Besch. Suppl.); 2. 1907 « obstruction volontaire d'une flotte » (Nouv. Lar. ill. Suppl.). Dér. du rad. de embouteiller*; suff. -age*. ; dér. De isobare	NA	NA	NA	NA	embouteiller, bouteille, isobare	machine d'embouteillage isobarique, système d'embouteillage isobarique	NA	NA	Embouteillage	NA	Le processus de vinification se termine par l’embouteillage isobarique du vin.	https://www.casa-giovanni.fr/boutique/boissons/vin-mousseux-rino-pecorino-blanc-750ml-abruzzes/	Technique	NA	NA	Œnologie	Vins spéciaux	Vin mousseux
Inzolia	fr	L'ansonica, ou inzolia, est un cépage italien de raisins blanc. Elle provient du sud de l'Italie. Elle est très cultivé sur l’île d'Elbe. En Sicile, il est classé recommandé en province d'Agrigente, de Palerme, et de Trapani. En Toscane, l’ansonica est classé recommandé en province de Grosseto et Livourne et elle est autorisée en province de Lucques.	https://fr.wikipedia.org/wiki/Ansonica	NA	Voix italienne; nzoglia (variation dyatopique)	Substantif	Masculin	/	[/inˈtsɔlja/]	Étymologie incertaine. Pline l'Ancien, dans son De Naturalis Historia, rapporte une description ampélographique qui ressemble beaucoup à cette variété, qui, cependant, malgré l'étymologie normande du mot ("racina soria", pour souligner la teinte dorée des baies), ne sera pas vraiment mentionnée avant 1600.	Insolia	NA	NA	NA	NA	Inzolia Funaro, Inzolia noire	Ansonica	NA	Vin	Inzolia noire, Inzolia Funaro	L’inzolia est un ancien cépage sicilien dont on retrouve trace dans des documents datant du XVIIe siècle. Autrefois destiné au Marsala, on le retrouve aujourd’hui dans de nombreux assemblages de vins blancs et de DOC, en compagnie du catarratto et de l’inzolia. Les meilleurs vins à base d’inzolia se caractérisent par des arômes intenses de fruit (pêche blanche) et une petite note de noix. 	https://www.licata.be/fr/info-sur-les-vins/cepages/inzolia/46/	Familier	Inzolia, Insolia	Ansonica	Œnologie	Vins spéciaux	Vin mousseux
Isobarique	fr	En thermodynamique, c'est la même chose qu'en isobare. En thermodynamique, la transformation i. (ou isobare), celle qui se produit à une pression constante, et courbée, la surface i. (ou isobare), la courbe ou la surface qui la représente graphiquement.	https://www.treccani.it/vocabolario/isobarico/ ; https://www.treccani.it/vocabolario/isobaro/	Définition traduite de l'italien	NA	Substantif	Masculin	Singulier	[/izobaʁik/]	Der. De isobare	NA	NA	NA	NA	Isobare	embouteillage isobarique, remplisseuse isobarique	NA	NA	NA	NA	Remplisseuse isobarique adaptée au remplissage de vins pétillants, de boissons gazéifiées, de bières ou d’eaux minérales.	http://www.cem-milano.com/catalogo-fr.html	Technique	NA	NA	Œnologie	Vins spéciaux	Vin mousseux
Levure morte	fr	Levures résiduelles qui se trouvent au fond de la bouteille et qui ne peuvent pas démarrer directement la fermentation.	http://univers-biere.net/br_levain.php	Définition réformulée	NA	Substantif	Féminin	Singulier	[/ləvyʁ mɔʁt/]	1419 leveure « substance provoquant la fermentation » (Edits de police de Montreuil-sur-Mer, éd. G. de Lhomel, 7 ds Fonds Barbier); 1611 leveure de biere (Cotgr.); 3. 1642 leveure de lard (Oudin Fr.-Ital.); Du latin mortuus (« mort, paralysé » (en parlant d’un membre), « qui a cessé d’être, aboli, sans force, faible »), participe passé du verbe morior (« mourir, décéder, périr, perdre la vie, expirer, succomber, se consumer, cesser d’être, finir, être anéanti, être détruit, s’éteindre »)	NA	NA	NA	NA	mourir	couche de levure morte	Levure inactive	Lies	Levure	NA	Lors du processus de vinification, la clarification et la stabilisation sont les étapes par lesquelles les matières insolubles en suspension dans le vin sont éliminées avant la mise en bouteille. Cette matière peut inclure des cellules de levure morte (lies), des bactéries, des tartrates, des protéines, des pectines, divers tanins et autres composés phénoliques, ainsi que des morceaux de peau de raisin, de pulpe, de tige et des gommes	https://fr.wikipedia.org/wiki/Clarification_et_stabilisation_du_vin	Familier / technique	NA	NA	Œnologie	Vins spéciaux	Vin mousseux
liqueur d'expédition	fr	Mélange de sucre de canne très pur et de vieux vin de Champagne. Une liqueur de dosage spécifique est adaptée à chaque cuvée. Dans un champagne (ou tout autre vin effervescent), c’est la quantité de sucre ajoutée, plus ou moins dosée dans la bouteille dégorgée (entre 0 et 6 cl de liqueur), qui permet d’élaborer les différents niveaux de goût selon des critères définis par l’Union Européenne	https://dico-du-vin.com/liqueur-de-dosage-ou-liqueur-dexpedition/	NA	NA	Substantif	Féminin	Singulier	[/likœʁ d‿ ekspedisjɔ̃/]	1372 « teneur en alcool, en sucre, douceur du vin » (E. Deschamps, Charte des bons enfants de vertus en Champagne, 259 ds Œuvres complètes, éd. G. Raynaud, t. 7, p. 331 : vin de grant liqueur); Début xiiies. « action d'exécuter ce qu'on a à faire » (Frère Angier, Vie St Grégoire, éd. P. Meyer, 686 ds Romania t. 12, p. 161);	NA	NA	NA	NA	expédier	ajouter de la liqueur d'expédition	Liqueur de dosage	NA	Liqueur	NA	Le dosage est une étape primordiale de l’élaboration du champagne, pourtant elle reste l’une des plus méconnues. Elle est la dernière opération menée par le vigneron ou le chef de cave. Après avoir passées un minimum de 18 mois dans les caves, les bouteilles de champagne sont dégorgées. Cette opération consiste à expulser le dépôt accumulé dans le goulot de la bouteille. Lors de l’opération une petite partie du vin est perdue, il faut alors le remplacer par un volume équivalent de ce que l’on appelle alors une liqueur d’expédition.	https://www.plus-de-bulles.com/fr/guide/c/champagne-dose-ou-non-dose	Technique	NA	NA	Œnologie	Vins spéciaux	Vin mousseux
liqueur de tirage	fr	composé de vin tranquille, de sucre et de levures sélectionnées pour activer la prise de mousse (fermentation en bouteille) du champagne et de tout vin effervescent. Cette liqueur en Champagne se présente sous forme d’un mélange de vins tranquille et de sucre candi dont la concentration varie de 500 à 625 g/l selon la pression désirée.	https://dico-du-vin.com/liqueur-de-tirage/	NA	NA	Substantif	Féminin	Singulier	[/likœʁ də tiʁaʒ/]	1372 « teneur en alcool, en sucre, douceur du vin » (E. Deschamps, Charte des bons enfants de vertus en Champagne, 259 ds Œuvres complètes, éd. G. Raynaud, t. 7, p. 331 : vin de grant liqueur); 1455-56 tiraige « action d'extraire, extraction » (Compte des mines de Jacques Cœur, A.N. KK 329, fo107 vo);	NA	NA	NA	NA	Tirer	ajouter de la liqueur de tirage	NA	NA	Liqueur	NA	Après l'assemblage, le vin est mis en bouteille accompagné d'une liqueur de tirage (un mélange de sucre et de vin) et d'un levain (levures sélectionnées). Ces dernières vont s'attaquer au sucre et provoquer la création de gaz carbonique.	https://www.lepoint.fr/vin/mots-du-vin/oenologie/liqueur-de-tirage-champagne-01-06-2012-1468016_621.php#	Technique	NA	NA	Œnologie	Vins spéciaux	Vin mousseux
Malvasia de Casorzo	fr	Le Malvasia di Casorzo d'Asti est un vin italien de la région Piémont doté d'une appellation DOC depuis le 21 aout 1968. Seuls ont droit à la DOC les vins rouges récoltés à l'intérieur de l'aire de production définie par le décret.	https://fr.wikipedia.org/wiki/Malvasia_di_Casorzo_d%27Asti	NA	Voix italienne	Substantif	Féminin	Singulier	[/malvaˈzia/də/ka'sɔrdzo/]	En grec ancien Μονεμβασία (Monembasía, "Monemvasia", une ville du Péloponnèse), de μόνος (mónos, "un seul") + ἔμβασις (émbasis, "entrer dans", ἐν + βάσις)	Malvasia di Casorzo, Malvazia di Casorzo	NA	NA	NA	NA	vignoble Malvasia di Casorzo	NA	NA	Malvasia	NA	Les vignobles de Casorzo sont autorisés dans les vins DOC Barbera del Monferrato, Freisa d'Asti et Malvasia di Casorzo d'Asti.	https://fr.wikipedia.org/wiki/Casorzo	Familier / technique	NA	NA	Œnologie	Vins spéciaux	Vin mousseux
valpolicella	fr	Vin rouge italien fruité et léger, produit dans la région du même nom (province de Vérone).	https://www.larousse.fr/dictionnaires/francais/valpolicella/81003		Avec ce terme nous nous référons au vin	substantif	masculin	invariable	\valpoli.ʧɛlla\	Peut-être il dérive du latin Vallis Polis Cellae, dérivant du latin Vallis (« vallée »), du grec πόλις (« ville ») et du latin cĕlla (« loge, cave »)	Valpolicella		vin Valpolicella			déguster un Valpolicella ; déguster un Valpolicella	/vin/ /rouge/ /italien/ /fruité/ /léger/ /produit/ /région/ /même/ /nom/ /province/ /Vérone/			vin rouge	Valpolicella superiore ; Valpolicella Ripasso ; Valpolicella Ripasso superiore ; Valpolicella classico ; Valpolicella classico superiore ; Valpolicella Ripasso classico ; Valpolicella Ripasso classico superiore ; Valpolicella Valpantena ; Valpolicella Valpantena superiore ; Valpolicella Ripasso Valpantena ; Valpolicella Ripasso Valpantena superiore	Doté d'une robe rubis claire, le Valpolicella Classico 2020 de chez Speri offre un nez franc et intense sur des notes de petits fruits rouges.	https://www.vinatis.com/46652-valpolicella-classico-2020-speri	spécialisé	valpolicella		œnologie	dégustation
Valpolicella	fr	La Valpolicella est une zone collinaire qui précède les Préalpes de Vérone, en Vénétie.	https://it.wikipedia.org/wiki/Valpolicella	Traduction personnelle de la définition de Wikipedia Italia	Avec ce terme nous nous référons à la région vitivinicole de production du Valpolicella	substantif	féminin	singulier	\valpoli.ʧɛlla\	Peut-être il dérive du latin Vallis Polis Cellae, dérivant du latin Vallis (« vallée »), du grec πόλις (« ville ») et du latin cĕlla (« loge, cave »)						zone de la Valpolicella ; territoire de la Valpolicella ; collines de la Valpolicella	/Valpolicella/ /être/ /zone/ /collinaire/ /précéder/ /Préalpes/ /Vérone/ /Vénétie/			région	Valpolicella Classica ; Valpolicella Valpantena ; Valpolicella Est	La région vitivinicole de la Valpolicella produit depuis toujours quelques-uns des vins les plus représentatifs d’Italie. De l’Amarone au Ripasso en passant par les Valpolicella Classico, Superiore et Recioto: la sélection d’aujourd’hui vous présente les mille nuances de cette région.	https://www.tannico.com/fr/promotions/les-vins-de-la-valpolicella.html	spécialisé	Valpolicella		géographie	
corvinone	fr	Le corvinone est un cépage rouge de Vénétie. Ses grains épais forment des grappes assez lâches et, comme le corvina, conviennent très bien pour le séchage.	https://www.licata.be/fr/info-sur-les-vins/cepages/corvinone/175/#:~:text=Le%20corvinone%20est%20un%20c%C3%A9page,%C3%A0%2050%20%25%20de%20corvinone).			substantif	masculin	invariable	\korvi.none\	Peut-être son nom dérive de la comparison entre la couleur des plumes du corbeau et la couleur du raisin du cépage	Corvinone		cépage Corvinone			cépage corvinone ; pourcentage + corvinone	/corvinone/ /être/ /cépage/ /rouge/ /Vénétie/ /grains/ /épais/ /former/ /grappes/ /assez/ /lâches/ /corvina/ /convenir/ /très/ /bien/ /séchage/			cépage		Le Pegrandi Amarone della Valpolicella Classico Riserva du Domaine Vaona est un vin rouge de la région d'Amarone della Valpolicella Classico. Ce vin est un assemblage de 4 cépages qui sont le Corvina, le Rondinella, le Corvinone et le Raboso Veronese.	https://www.winedexer.com/vin/vaona/pegrandi-amarone-della-valpolicella-classico-riserva	spécialisé	corvinone		vitiviniculture	
rondinella	fr	Le rondinella est un cépage autochtone rouge de Vénétie. Considéré comme le petit frère du corvina, il apporte aux assemblages un fruité léger, aux arômes de cerise.	https://www.licata.be/fr/info-sur-les-vins/cepages/rondinella/98/			substantif	masculin	invariable	\rondi.nɛlla\	Peut-être son nom dérive de la comparison entre la couleur foncée du raisin du cépage et la couleur du plumage des hirondelles	Rondinella		cépage Rondinella			cépage rondinella ; pourcentage + rondinella	/rondinella/ /être/ /cépage/ /autochtone/ /rouge/ /Vénétie/ /considéré/ /petit/ /frère/ /corvina/ /apporter/ /assemblages/ /fruité/ /léger/ /arômes/ /cerise/			cépage		Parmi les raisins typiques de Valpolicella, qui peut également concurrencer l'Amarone, le rondinella se distingue par sa concentration de sucres et de parfums.	https://www.vinissimus.fr/fr/raisin/rondinella/#view-more	spécialisé	rondinella		vitiviniculture	
vinification	fr	La vinification est l’étape entre la vendange et l’élevage qui permet la transformation du raisin en vin.	http://www.vinoblo.com/definitions-vin/vinification/			substantif	féminin	singulier	\vinifika.sjɔ̃\	Du latin vinum (vin) et facere (faire)						technique de vinification ; méthode de vinification ; art de la vinification ; étapes de la vinification ; chais de vinification ; effectuer la vinification	/vinification/ /être/ /étape/ /vendange/ /élevage/ /permettre/ /transformation/ /raisin/ /vin/	cuvage ; cuvaison			vinification en rouge ; vinification en blanc ; vinification en rosé	Après la vinification en blanc, la seconde fermentation est réalisée en autoclave, à une température contrôlée de 14-15 ° C, selon la méthode Charmat.	https://www.vino.com/fr/dettaglio/valdobbiadene-prosecco-superiore-docg-il-vino-dei-poeti-bottega-2020.html	spécialisé	vinification		œnologie	vinification
molinara	fr	Le molinara est un cépage rouge de Vénétie, qui, dans la région du Valpolicella, forme traditionnellement une tripartite avec le corvina et le rondinella.	https://www.licata.be/fr/info-sur-les-vins/cepages/molinara/63/			substantif	masculin	invariable	\moli.nara\	Du dialecte mulinara (de moulin), car les raisins de ce cépage sont si pruineux qu'il semblent être saupoudré de farine	mulinara ; Molinara		cépage molinara			cépage molinara	/molinara/ /être/ /cépage/ /rouge/ /Vénétie/ /région/ /Valpolicella/ /former/ /traditionnellement/ /tripartite/ /corvina/ /rondinella/	Breppon ; Brepon molinara ; Polà ; Rossanella ; Rossanella gentile ; Rossara ; Solà-brepon ; Uva salà		cépage		Aidé de sa femme, il cultive principalement des cépages comme le corvina, le corvinone, le rondinella et le molinara, et s'oriente peu à peu vers une conversion en bio.	https://www.idealwine.com/fr/domaine/6292-Vaona-Odino.jsp	spécialisé	molinara		vitiviniculture	
oseleta	fr	L’oseleta est un très ancien cépage rouge de Vérone (en Vénétie).	https://www.licata.be/fr/info-sur-les-vins/cepages/oseleta/80/			substantif	masculin	invariable	\oze.lɛta\	Son nom semble dériver du fait que son raisin était très apprécié par les oiseaux (osei en dialecte vénitien)	Oseleta		cépage oseleta			cépage oseleta	/oseleta/ /être/ /très/ /ancien/ /cépage/ /rouge/ /Vérone/ /Vénétie/	oselina		cépage		Ce vin est un assemblage de 6 cépages qui sont le Corvina, le Rondinella, le Molinara, le Croatina, le Corvinone et le Oseleta.	https://www.winedexer.com/vin/monte-dall-ora/stropa-amarone-della-valpolicella	spécialisé	oseleta		vitiviniculture	
autoclave	fr	Récipient à parois épaisses et à fermeture hermétique, destiné à réaliser sous pression soit une réaction industrielle, soit la cuisson ou la stérilisation à la vapeur.	https://www.larousse.fr/dictionnaires/francais/autoclave/6622			substantif	masculin	singulier	\oto.klav\	De auto- (« de lui-même ») et du latin clavis (« clef »), littéralement « qui se ferme lui-même (à clef) »					autoclavable ; autoclavage ; autoclaver	autoclave pressurisé ; rester en autoclave ; refermentation en autoclave ; fermentation en autoclave	/récipient/ /parois/ /épaisses/ /fermeture/ /hermétique/ /destiné/ /réaliser/ /sous/ /pression/ /réaction/ /industrielle/ /cuisson/ /stérilisation/ /vapeur/	étuve ; cuve à pression				La raison pour laquelle on préfère l’utilisation des autoclaves dans la production du Prosecco tient au fait que de cette façon on préserve les arômes fruités et délicats de ce vin.	https://www.valdoca.fr/post/571a3677ffe48e0064dcd1b3/la-m%C3%A9thode-de-production-du-prosecco-la-refermentation-en-autoclave.html	spécialisé	autoclave		œnologie	vins effervescents
Ripasso	fr	Technique qui consiste à renvoyer le Valpolicella classique sur le marc de l’Amarone afin d'obtenir un vin plus alcoolisé, coloré, corsé et aux arômes plus complexes.	https://vinico.be/produit/valpolicella-classico-superiore-ripasso/	définition personnelle basée sur la définition de Vinico		substantif	féminin	singulier	\ri.passo\	De l'italien ripassare (« passer à nouveau »), à son tour dérivant de ri- (du latin -re) et du latin parlé *passāre (de păssus, « pas », à son tour dérivant du verbe pando, « étendre »)			méthode Ripasso			technique Ripasso ; appellation Ripasso ; méthode Ripasso	/technique/ /consister/ /renvoyer/ /Valpolicella/ /classique/ /marc/ /Amarone/ /obtenir/ /vin/ /alcolisé/ /coloré/ /corsé/ /arômes/ /plus/ /complexes/			pratiques œnologiques		Il est réalisé par la technique "ripasso" qui est une spécialité de la région Valpolicella. Cette technique s’est développée dans les années 70 quand les vignerons se sont souvenus d’une technique ancestrale consistant à ajouter des pellicules pressées des grands vins d’Amarone déjà fermenté à du vin classique de Valpolicella.	https://www.lebaroudeurduvin.com/products/zeni-valpolicella-ripasso-superiore-marogne-italie	spécialisé	Ripasso		œnologie	vinification
enherbement	fr	L’enherbement de la vigne consiste à maintenir et à entretenir un couvert végétal, naturel ou semé, entre les rangs et autour de la parcelle (tournières).	http://itab.asso.fr/downloads/Fiches-techniques_viti/viti%20enherbement.pdf			substantif	masculin	singulier	\ɑ ̃nε ʀbə.mɑ ̃\	De -en, herbe (du latin herba, via l’ancien français erbe) et -ment						technique de l'enherbement; méthode de l'enherbement; enherbement des vignes, enherbement + faciliter	/enherbement/ /vigne/ /consister/ /maintenir/ /entretenir/ /couvert/ /végétal/ /naturel/ /semé/ /entre/ /rangs/ /autour/ /parcelle/ /tournières/				enherbement temporaire ; enherbement permanent ; enherbement partiel ; enherbement total	L'enherbement permet des apports de matière organique bon marché, le développement de la vie dans le sol, une amélioration de la structure du sol, une meilleure rétention de l'eau et des sels minéraux, et la limitation des déperditions de nitrates vers les nappes phréatiques.	https://nungesser-semences.fr/enherbement-vignoble.html	spécialisé	enherbement		agronomie	vitiviniculture
vignoble	fr	Le vignoble est un terrain planté de vigne.	http://www.vin-vigne.com/lexique/definition-vignoble.html			substantif	masculin	singulier	\vi.ɲɔbl\	Emprunté, après substitution de suffixe, à l’ancien occitan vinhobre (« planté de vigne »), du latin régional *vineoporus, transformation du grec ancien ἀμπελοφόρος, ampelophóros (« portant des vignes ») par substitution du latin vinea (« vigne ») au grec ancien ἄμπελος, ámpelos (« plant de vigne »)						(n.) hectares de vignobles ; mécanisation du vignoble ; exposition des vignobles ; élevage du vignoble ; vignobles commerciaux ; vignoble exposé ; éteindre + vignoble ; vignobles cultivés ; vignoble + bénéficier, situer	/vignoble/ /terrain/ /planté/ /vigne/				vignoble autochtone ; vignoble allochtone	Le vignoble est obtenu en terrasses: la grande pente assure la perte d'eau en cas de précipitations abondantes, tandis que la profondeur et la structure à dominante argileuse permettent de retenir l'eau en période de sécheresse.	https://www.viniwines.com/fr/les-vins-rouges/capitel-monte-olmi-reserve-classique-amarone-della-valpolicella-doc	spécialisé	vignoble		vitiviniculture	
teroldego	fr	Teroldego est un cépage noir important présent depuis des siècles dans le Trentin qui trouve son territoire de prédilection dans la zone plate de Campo Rotaliano, notamment dans les localités de Mezzocorona, Mezzolombardo et San Michele dell'Adige.	https://www.vino.com/fr/selezione/vitigno-teroldego			substantif	masculin	invariable	\te.rɔldego\	Le nom dérive d'un toponyme d'un petit village italien (Teroldeghe) dans la commune de Mezzolombardo. Selon certains en revanche le nom dérive du tyrolien Tiroler Gold, le terme avec lequel la cour de Vienne appelait les vins produits dans cette zone d'Italie	Teroldigo ; Teroldega ; Teroldego		cépage teroldego			cépage teroldego	/Teroldego/ /cépage/ /noir/ /important/ /présent/ /depuis/ /siècles/ /Trentin/ /trouver/ /son/ /territoire/ /prédilection/ /zone/ /plate/ /Campo/ /Rotaliano/ /notamment/ /localités/ /Mezzocorona/ /Mezzolombardo/ /San Michele dell'Adige/	Tirodola ; Teroldico ; Tiroldico ; Toroldico ; Tiraldega ; Tiroldela ; Tiroldigo ; Tiraldola ; Tiroldola ; Teroldola ; Terodola				Ce vin est un assemblage de 4 cépages qui sont le Teroldego, le Corvina, le Corvinone et le Oseleta. En bouche ce vin rouge est un vin puissant avec beaucoup de tanins présents en bouche.	https://www.winedexer.com/vin/tenute-ca-botta/il-priore-rosso-veronese	spécialisé	teroldego		vitiviniculture	
Valpolicella Classico	fr	Le Valpolicella Classico est fabriqué à partir de raisins cultivés dans la zone de production originale de Valpolicella.	https://educalingo.com/fr/dic-en/valpolicella			substantif	masculin	singulier	\valpoli.ʧɛlla .klassiko\	Valpolicella : peut-être il dérive du latin Vallis Polis Cellae, dérivant du latin Vallis (« vallée »), du grec πόλις (« ville ») et du latin cĕlla (« loge, cave »); Classico : du latin clàssicus, de classis (classe des anciens Romains les plus riches et aisés)						zone de Valpolicella Classico ; Valpolicella Classico + se savourer	/Valpolicella/ /Classico/ /fabriqué/ /partir/ /raisins/ /cultivés/ /zone/ /production/ /originale/ /Valpolicella/				Valpolicella Classico Superiore	Valpolicella Classico est l'un des vins les plus représentatifs de la société Degani, produit à partir de raisins Corvina et Rondinella, incarnant parfaitement le style et le caractère du territoire. Il a une couleur rouge rubis intense avec des arômes propres et harmonieux, principalement fruités.	https://www.vinissimus.fr/fr/vin/degani-valpolicella-classico/#product-description	spécialisé	Valpolicella Classico		œnologie	dégustation
caractéristiques organoleptiques	fr	Ensemble des propriétés d’un vin identifiées par examen sensoriel : couleur, olfaction, rétro-olfaction, sensations physiques (acidité, astringence, etc.).	https://www.vins-bourgogne.fr/glossaire/organoleptique,2530,9410.html?&args=Y29tcF9pZD0xNTU5JmFjdGlvbj12aWV3R2xvc3NhaXJlJmlkPSZtb3Q9MzI1fA%3D%3D			substantif	féminin	pluriel	\kaʁakteʁis.tik ɔʁɡanolɛp.tik\	caractéristique : du grec ancien χαρακτηριστικός, kharaktêristikós (« qui sert à distinguer ») ; organoleptique : du grec ancien λῆψις, lêpsis, action de prendre (de λαμβάνω lambano prendre), et de organe (du latin organum, à son tour dérivé du grec ancien ὄργανον, órganon)						caractéristiques organoleptiques du vin ; exalter, conserver, altérer, posséder les caractéristiques organoleptiques ; appréciation des caractéristiques organoleptiques ; caractéristiques organoleptiques recherchées, marquées	/ensemble/ /propriétés/ /vin/ /indentifiées/ /examen/ /sensoriel/ /couleur/ /olfaction/ /rétro-olfaction/ /sensations/ /physiques/ /acidité/ /astringence/	caractères organoleptiques ; propriétés organoleptiques				Un vin présentant une teneur en acidité volatile supérieure à ces valeurs peut être accepté si ses caractéristiques organoleptiques sont jugées acceptables par le comité d’agrément.	https://vinsduquebec.com/wp-content/uploads/2020/12/IGP-Vin-du-Quebec-Cahier-des-charges.pdf	spécialisé	caractéristiques organoleptiques		œnologie	dégustation
sol	fr	Couche superficielle de l'écorce terrestre considérée quant à sa nature ou à ses qualités productives.	https://www.larousse.fr/dictionnaires/francais/sol/73257		ce terme est utilisé souvent aussi au pluriel (« sols »)	substantif	masculin	singulier	\sɔl\	Du latin classique solum (« fondement, fond; base, surface de la terre; pays, contrée »)						richesse des sols ; diversité des sols ; analyse des sols ; facteur sol ; implanté sur des sols ; sols viticoles ; composition du sol ; teneur du sol ; fertilité du sol ; types de sol ; profondeur du sol ; surface du sol ; température du sol ; capacité du sol ; formation du sol ; structure du sol ; porosité du sol ; composants du sol ; propriétés du sol	/couche/ /superficielle/ /écorce/ /terrestre/ /considérée/ /sa/ /nature/ /ses/ /qualités/ /productives/	terroir ; terre			sol sableux ; sol limoneux ; sol argileux ; sol calcaire ; sol silicieux ; sol marneux ; sol volcanique ; sol schisteux	L’examen visuel et la dégustation des vins issus des raisins vendangés dans les différentes régions viticoles de France a mis en évidence l'influence de la composition du sol sur le cépage, le porte-greffe, la maturation et la qualité des raisins vendangés et au final sur les propriétés organoleptiques des vins obtenus.	http://www.vinsvignesvignerons.com/Geologie/Notion-de-terroir-viticole/Facteur-sol-et-terroir-viticole	spécialisé et non spécialisé	sol		agronomie	
label	fr	Étiquette ou marque spéciale créée par un syndicat professionnel et apposée sur un produit destiné à la vente, pour en certifier l'origine, en garantir la qualité et la conformité avec les normes de fabrication.	https://www.larousse.fr/dictionnaires/francais/label/45761			substantif	masculin	singulier	\la.bɛl\	Emprunt à l’anglais label (« étiquette »), attesté depuis le XVIIe siècle, issu de l’ancien français label, lambel (« frange, bordure, lambeau ») avec spécialisation du sens de « bande, frange de quelque chose ».					labellisation ; labellisé ; labelliser	le label + typologie de label ; obtenir le label ; posséder le label ; le label représente	/étiquette/ /marque/ /spéciale/ /créée/ /syndacat/ /professionnel/ /apposée/ /produit/ /destiné/ /vente/ / certifier/ /origine/ /garantir/ /qualité/ /conformité/ /normes/ /fabrication/	marque ; mention			label AB ; label Demeter ; label AVN ; label AOP; label AOC ; label IGP ; label STG ; label rouge	Pour obtenir le label AOP, les vignerons doivent s’assurer que leurs méthodes de culture et leurs techniques de vinification répondent aux règlementations et aux critères de qualité énoncés par l’INAO.	https://vins-aoc.com/vin-tout-savoir-de-lappellation-aop/	spécialisé	label		œnologie	
vin de presse	fr	Terme qui désigne un vin rouge ou rosé obtenu à partir du jus de raisin tiré des marcs pressés dans le pressoir. Il est obtenu après le vin de goutte (ce dernier est recueilli lors du soutirage).	https://www.larvf.com/,vin-de-presse-definition-dictionnaire-du-vin-vocabulaire-lexique,10355,4025494.asp			substantif	masculin	singulier	\vɛ̃ də pʁɛs\	vin : du latin vīnum; de : du latin de, apparenté au mot latin dum ; presse : déverbal sans suffixe de presser, de l’ancien français presser (« accabler, tourmenter »), du latin pressāre, infinitif présent actif de pressō (« presser ») et intensif de premere (d’après le supin pressum) « presser, serrer de près, harceler »							/terme/ /désigner/ /vin/ /rouge/ /rosé/ /obtenu/ /partir/ /jus/ /raisin/ /tiré/ /marcs/ /pressés/ /pressoir/ /être/ /obtenu/ /après/ /vin/ /goutte/ /ce/ /dernier/ /recueilli/ /lors/ /soutirage/					A l’issue de l’écoulage, quand le « vin de goutte » a été recueilli en cuve, ou déjà en barriques, et attend que se déclenche sa fermentation malolactique, les pellicules de raisins formant le marc sont extraites de la cuve et pressées pour donner le vin de presse.	https://www.chateau-margaux.com/fr/savoir-faire/le-travail-des-chais/vin-de-presse	spécialisé	vin de presse		œnologie	vinification
